,is_ambig,is_correct,is_human,is_context_true_first,percent_certainty_of_correct
368,False,True,True,True,0.5467381519846138
369,False,False,True,False,0.38861802670584894
370,False,False,True,False,0.38121956625614994
371,False,True,False,False,0.588889130767832
372,False,True,False,False,0.5312093733737562
373,False,False,False,True,0.4339814648038985
374,False,False,False,True,0.4882833952958347
375,False,False,False,True,0.42632159254749036
376,False,True,True,True,0.5698526514141571
377,False,False,True,False,0.4532618480153861
378,False,False,False,True,0.4960938294709195
379,False,False,False,True,0.42250463481418826
380,False,False,True,False,0.4571367168274948
381,False,False,True,False,0.46490157137338844
382,False,False,False,False,0.4378234991142019
383,False,False,False,False,0.5
384,False,True,False,False,0.600188359260205
385,False,True,True,False,0.5389832206876841
386,False,False,False,False,0.4882833952958347
387,False,True,True,True,0.5544704649604273
388,False,True,True,True,0.519521321952093
389,False,True,True,True,0.5851011542032312
390,False,False,False,True,0.480478678047907
391,False,False,True,False,0.3849121444839335
392,False,True,False,False,0.5813030906443133
393,False,True,True,True,0.588889130767832
394,False,True,False,False,0.5851011542032312
395,False,False,True,True,0.48828339529583464
396,False,False,False,True,0.480478678047907
397,False,False,True,False,0.37022539954425293
398,False,False,True,False,0.3812195662561499
399,False,True,True,False,0.5544704649604273
400,False,False,True,False,0.3629692193015555
401,False,False,True,False,0.399811640739795
402,False,True,False,True,0.5039061705290805
403,False,False,False,True,0.5
404,False,True,True,False,0.523420348936324
405,False,False,False,True,0.4882833952958347
406,False,False,True,False,0.4571367168274948
407,False,True,False,False,0.6513548646660542
408,False,False,False,True,0.4416730056646256
409,False,False,True,False,0.43398146480389854
410,False,True,False,False,0.546738151984614
411,False,False,False,True,0.46490157137338844
412,False,False,False,True,0.4186969093556867
413,False,False,True,False,0.480478678047907
414,False,True,False,False,0.5926665999540697
415,False,True,False,False,0.5774953651858118
416,False,True,True,False,0.5156199157230156
417,False,False,True,False,0.4416730056646256
418,False,True,False,False,0.5506073655352404
419,False,False,True,True,0.49218813572079556
420,False,False,True,False,0.476579651063676
421,False,True,False,False,0.588889130767832
422,False,False,True,False,0.46879062662624377
423,False,True,True,True,0.5312093733737563
424,False,True,False,True,0.5156199157230157
425,False,True,False,False,0.5621765008857981
426,False,False,True,False,0.46101677931231594
427,False,False,True,False,0.41489884579676883
428,False,False,True,False,0.42250463481418826
429,False,False,True,False,0.4455295350395727
430,False,True,True,True,0.5774953651858118
431,False,False,False,True,0.480478678047907
432,False,False,False,True,0.4416730056646256
433,False,True,True,True,0.5039061705290805
434,False,False,False,True,0.47657965106367595
435,False,False,False,True,0.38121956625614994
436,False,True,False,False,0.6224593171945416
437,False,True,False,False,0.5273165233795671
438,False,False,False,True,0.47657965106367595
439,False,False,True,False,0.3775406687981454
440,False,True,False,False,0.5506073655352404
441,False,False,True,False,0.46879062662624377
442,False,True,True,True,0.5736784074525096
443,False,False,False,True,0.4571367168274948
444,False,False,False,True,0.43398146480389854
445,False,True,True,False,0.5078118642792044
446,False,True,False,True,0.5117166047041654
447,False,True,True,True,0.5698526514141571
448,False,False,False,True,0.48047867804790706
449,False,False,False,True,0.4073334000459302
450,False,True,True,True,0.5926665999540698
451,False,True,False,False,0.5350984286266115
452,False,False,True,False,0.4571367168274948
453,False,False,False,True,0.40356685373537454
454,False,False,False,True,0.44167300566462564
455,False,True,True,True,0.5964331462646254
456,False,True,False,True,0.5350984286266115
457,False,True,False,False,0.5583269943353745
458,False,False,True,False,0.44939263446475963
459,False,True,True,True,0.5736784074525096
460,False,False,True,True,0.49609382947091946
461,False,False,False,True,0.4921881357207956
462,False,True,False,True,0.5273165233795672
463,False,True,True,True,0.6442251064863697
464,False,True,True,True,0.6442251064863697
465,False,True,True,True,0.5544704649604273
466,False,True,True,True,0.5312093733737563
467,False,True,False,True,0.5078118642792044
468,False,True,True,True,0.5851011542032312
469,False,True,True,True,0.5774953651858118
470,False,True,False,False,0.5506073655352404
471,False,True,True,False,0.5117166047041654
472,False,True,False,True,0.523420348936324
473,False,False,False,True,0.49218813572079556
474,False,True,True,False,0.5698526514141571
475,False,True,True,False,0.588889130767832
476,False,False,False,True,0.48828339529583464
477,False,False,False,True,0.3775406828054583
478,False,False,False,True,0.48047867804790706
479,False,True,True,True,0.5467381519846138
480,False,True,False,False,0.5964331462646254
481,False,False,True,True,0.48828339529583464
482,False,False,False,True,0.4378234991142019
483,False,False,False,True,0.49609382947091946
484,False,False,False,False,0.49609382947091946
485,False,True,True,True,0.5156199157230157
486,False,False,False,True,0.44552953503957266
487,False,True,True,False,0.5813030906443134
488,False,False,False,True,0.4960938294709195
489,False,True,False,False,0.5389832206876841
490,False,False,False,False,0.476579651063676
491,False,True,False,True,0.538983220687684
492,False,True,True,True,0.5389832206876841
493,False,True,True,True,0.588889130767832
494,False,True,False,False,0.5698526514141571
495,False,True,False,False,0.5350984286266115
496,False,False,True,False,0.36658975016245987
497,False,False,False,True,0.43782349911420193
498,False,False,False,False,0.46879062662624377
499,False,False,False,True,0.47268347662043286
